entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase,fecha_de_publicacion_fase_1,fecha_de_publicacion,fecha_de_publicacion_fase_2,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),899999027,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2577563,EDP-545-2022,700474109,CO1.BDOS.2503732,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de mercado laboral desestacionalizadas.,Presentación de oferta,2022-01-18T00:00:00.000,2022-01-18T00:00:00.000,,,,,2022-01-18T00:00:00.000,57333333,Contratación directa,Servicios profesionales y apoyo a la gestión,344,día(s),,,,Bogotá,SECRETARIA GENERAL - DANE CENTRAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2597221,700474109,Presentación de oferta
ALCALDIA LOCAL DE SUMAPAZ,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Centralizada,CO1.REQ.5912737,FDRSCD-064-2024 (103702),702096124,CO1.BDOS.5796124,Prestar los servicios profesionales de acompañamiento psicosocial para apoyar la ejecución de la meta Beneficiar 150 personas,Prestar los servicios profesionales de acompañamiento psicosocial para apoyar la ejecución de la meta Beneficiar 150 personas a través de estrategias para el fortalecimiento de los mecanismos de justicia comunitaria.1683,Presentación de oferta,2024-03-08T00:00:00.000,2024-03-08T00:00:00.000,,,,,2024-03-08T00:00:00.000,26000000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),,,,No Aplica,AREA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5802489,702096124,Presentación de oferta
CENAC AVIACION,830039207,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.8610154,SASD-191-CENACAVIACION-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),702359944,CO1.BDOS.8355416,SERVICIOS DE MANTENIMIENTO Y/O EXCHANGE; ADQUISICIÓN DE COMPONENTES UH60 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),"PRESTACIÓN DE SERVICIOS DE MANTENIMIENTO Y/O EXCHANGE, ADQUISICIÓN DE COMPONENTES PARA LA FLOTA UH60/S70I DE LA AVIACIÒN DEL EJÉRCITO NACIONAL",Presentación de oferta,2025-07-23T00:00:00.000,2025-07-23T00:00:00.000,,,,,2025-07-23T00:00:00.000,10979236356,Selección Abreviada de Menor Cuantía,Defensa y seguridad nacional,0,día(s),2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,No Aplica,UNIDAD DE CONTRATACION CENAC AVIACION,17,17,27,0,11,0,0,11,116,Seleccionado,70,Si,CO1.AWD.2327653,703188763, Florida,No Definido,2025-08-19T00:00:00.000,40000,lina vanessa nunez escarria,AVIATION INTERNATIONAL SOLUTIONS,80-0696494,UNSPECIFIED,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8478942,702359944,Adjudicado
ISVIMED,900014480,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.9756253,175-2026,703835165,CO1.BDOS.9589062,PRESTACION DE SERVICIOS,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO CONTRATISTA INDEPENDIENTE, POR SU PROPIA CUENTA Y RIESGO, COMO APOYO EN LA ESTRUCTURACIÓN Y SEGUIMIENTO DE LOS PROGRAMAS Y PROYECTOS DEL ISVIMED DESDE EL COMPONENTE DE IMPLEMENTACIÓN Y MEJORA DEL SISTEMA DE GESTIÓN DE CALIDAD-SGC Y DEL PROGRAMA DE TRANSPARENCIA Y ÉTICA PÚBLICA",Presentación de oferta,2026-01-18T00:00:00.000,2026-01-18T00:00:00.000,,,,,2026-01-18T00:00:00.000,37033728,Contratación directa,Servicios profesionales y apoyo a la gestión,192,día(s),,,,No Aplica,CONTRATACIÓN ISVIMED,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9602440,703835165,Presentación de oferta
COLEGIO GABRIEL BETANCOURT MEJIA I.E.D,900143276,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.7128715,RE-CGBM-049-2024,703916536,CO1.BDOS.6995772,SUMINISTRO ELECTROBOMBAS,"COMPRA ELECTROBOMBAS DE SUPERFICIE CENTRIFUGA MODELO PEARL C2P 55H36S , CON POTENCIA  DE 5,5 HP, 220/440V Y TRIFASICAS SEDE A COLEGIO GABRIEL BETANCOURT MEJIA IED",Presentación de oferta,2024-11-06T00:00:00.000,2024-11-06T00:00:00.000,,,,,2024-11-06T00:00:00.000,5500000,Contratación régimen especial (con ofertas),Regla aplicable,5,día(s),2024-11-12T00:00:00.000,2024-11-13T00:00:00.000,,Bogotá,PAGADURIA,0,0,9,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.40151500,Cerrado,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7008964,703916536,Presentación de oferta
DANE CENTRO OCCIDENTE,899999027,Caldas,Manizales,Nacional,Centralizada,CO1.REQ.2211408,EDP-427-OP-2021-12,704695428,CO1.BDOS.2150620,MERCADO_2021_GEIH_URBANA _TH_TU_ OT- Prestación de servicios de apoyo a la gestión para realizar Recolección Urbana de información de la Gran Encuesta Integrada de Hogares - GEIH-Marco 2005 mediante e,MERCADO_2021_GEIH_URBANA _TH_TU_ OT- Prestación de servicios de apoyo a la gestión para realizar Recolección Urbana de información de la Gran Encuesta Integrada de Hogares - GEIH-Marco 2005 mediante el método de captura móvil DMC,Presentación de oferta,2021-08-05T00:00:00.000,2021-08-05T00:00:00.000,,,,,2021-08-05T00:00:00.000,7905674,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),,,,No Aplica,DANE TERRITORIAL CENTRO OCCIDENTE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2152079,704695428,Presentación de oferta
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.9845111,CD-CPS-0720-2026,700676059,CO1.BDOS.9677536,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES PARA ACOMPAÑAR LA GESTIÓN CONTABLE Y FINANCIERA DE LOS PROGRAMAS, CONTRATOS Y/O CONVENIOS DEL INVIAS EN LA SUBDIRECCIÓN DE VÍAS REGIONALES EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL",Presentación de oferta,2026-01-22T00:00:00.000,2026-01-22T00:00:00.000,,,,,2026-01-22T00:00:00.000,48620250,Contratación directa,Servicios profesionales y apoyo a la gestión,210,día(s),,,,Bogotá,Subdirección de Vías Regionales,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9690232,700676059,Presentación de oferta
MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,Putumayo,San Miguel,Territorial,Descentralizada,CO1.REQ.8273274,PS-147-2025,712452853,CO1.BDOS.8128286,PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION; GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO,"PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION, GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO",Presentación de oferta,2025-05-16T00:00:00.000,2025-05-16T00:00:00.000,,,,,2025-05-16T00:00:00.000,10000000,Contratación directa,Servicios profesionales y apoyo a la gestión,104,día(s),,,,No Aplica,ALCALDÍA SAN MIGUEL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8148159,712452853,Presentación de oferta
LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA,800194600,Cundinamarca,Mosquera,Nacional,Centralizada,CO1.REQ.6622657,135116,718046428,CO1.BDOS.6496979,CATALOGO DE EPPS CI  OBONUCO - EXPERIENCIAS JM,No definido,Presentación de oferta,2024-08-06T00:00:00.000,2024-08-06T00:00:00.000,,,,,2024-08-06T00:00:00.000,0,Contratación régimen especial,Regla aplicable,6,Mes(es),,,,Pasto,ADQUISICIONES OBONUCO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.46181500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6507167,718046428,Presentación de oferta
EMPRESA SOCIAL DEL ESTADO BELLOSALUD,800174995,Antioquia,Bello,Territorial,Centralizada,CO1.REQ.9182530,OC10-2494-2025 DAVILA PROYECCION,705410264,CO1.BDOS.9018383,MANTENIMIENTO HOSPITALARIO,MANTENIMIENTO HOSPITALARIO,Presentación de oferta,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,,,,,2025-10-31T00:00:00.000,4260200,Contratación régimen especial,Regla aplicable,30,día(s),,,,Bello,UC ESE BELLOSALUD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9042868,705410264,Presentación de oferta
